effect,group,term,estimate,std.error,statistic,p.value,model,nobs,sigma,logLik,AIC,BIC,deviance,df.residual
fixed,,(Intercept),0.201861311136028,0.0464917374901553,-6.94775715093017,3.71139156597932e-12,model base,7748,1,-4316.87533353574,8653.75066707148,8723.30256731675,3009.54767572156,7738
fixed,,factor(sex)Male,1.22291141966965,0.107469601522389,2.28987428364787,0.0220286053895336,model base,7748,1,-4316.87533353574,8653.75066707148,8723.30256731675,3009.54767572156,7738
fixed,,scale(age),1.28813874415777,0.0473920159313248,6.88205784289758,5.89940476530806e-12,model base,7748,1,-4316.87533353574,8653.75066707148,8723.30256731675,3009.54767572156,7738
fixed,,scale(social_origins),1.11404662127411,0.0459619101934374,2.61773086626389,0.00885165882613773,model base,7748,1,-4316.87533353574,8653.75066707148,8723.30256731675,3009.54767572156,7738
fixed,,factor(stroke_ever)1,1.43685746210224,0.163970139833809,3.17619459798403,0.00149220816391961,model base,7748,1,-4316.87533353574,8653.75066707148,8723.30256731675,3009.54767572156,7738
fixed,,factor(study)CODA,1.21267256360131,0.339664882418069,0.688430288740115,0.491181855543666,model base,7748,1,-4316.87533353574,8653.75066707148,8723.30256731675,3009.54767572156,7738
fixed,,factor(study)WB,0.635759052329802,0.160273511972116,-1.79666575681732,0.0723886983307501,model base,7748,1,-4316.87533353574,8653.75066707148,8723.30256731675,3009.54767572156,7738
fixed,,factor(study)EBB,0.675891412140695,0.163466903945811,-1.61966797579216,0.105303618926181,model base,7748,1,-4316.87533353574,8653.75066707148,8723.30256731675,3009.54767572156,7738
fixed,,factor(study)MBB,0.700753395049172,0.17628558256922,-1.4135437165481,0.157495916907372,model base,7748,1,-4316.87533353574,8653.75066707148,8723.30256731675,3009.54767572156,7738
ran_pars,hhidpn,sd__(Intercept),1.01387908225402,,,,model base,7748,1,-4316.87533353574,8653.75066707148,8723.30256731675,3009.54767572156,7738
fixed,,(Intercept),0.201542917473186,0.0463895220285518,-6.95894125513691,3.42839423721047e-12,model 1,7748,1,-4316.70565994283,8655.41131988566,8731.91841015545,3010.21756762583,7737
fixed,,scale(ad_pgs_resid),1.02455947166271,0.0426547839683319,0.5827861294585,0.560037283530772,model 1,7748,1,-4316.70565994283,8655.41131988566,8731.91841015545,3010.21756762583,7737
fixed,,factor(sex)Male,1.22256077425341,0.107392968488963,2.28758663799535,0.0221616047711545,model 1,7748,1,-4316.70565994283,8655.41131988566,8731.91841015545,3010.21756762583,7737
fixed,,scale(age),1.2880282733315,0.0473800704949005,6.88087110057683,5.94876612142144e-12,model 1,7748,1,-4316.70565994283,8655.41131988566,8731.91841015545,3010.21756762583,7737
fixed,,scale(social_origins),1.11378932955314,0.0459312979959398,2.61326953448081,0.00896805450933348,model 1,7748,1,-4316.70565994283,8655.41131988566,8731.91841015545,3010.21756762583,7737
fixed,,factor(stroke_ever)1,1.43720267062854,0.163938229535166,3.17968205204054,0.0014743672471898,model 1,7748,1,-4316.70565994283,8655.41131988566,8731.91841015545,3010.21756762583,7737
fixed,,factor(study)CODA,1.20833943280823,0.338313576884229,0.675925193730116,0.499088141158596,model 1,7748,1,-4316.70565994283,8655.41131988566,8731.91841015545,3010.21756762583,7737
fixed,,factor(study)WB,0.636201712125053,0.160276478310075,-1.79512063310748,0.0726344820457961,model 1,7748,1,-4316.70565994283,8655.41131988566,8731.91841015545,3010.21756762583,7737
fixed,,factor(study)EBB,0.677251124405072,0.16369686133113,-1.61233183459984,0.106889749415288,model 1,7748,1,-4316.70565994283,8655.41131988566,8731.91841015545,3010.21756762583,7737
fixed,,factor(study)MBB,0.7032176753643,0.176824651529379,-1.40022934260743,0.161444651717737,model 1,7748,1,-4316.70565994283,8655.41131988566,8731.91841015545,3010.21756762583,7737
ran_pars,hhidpn,sd__(Intercept),1.01318321121575,,,,model 1,7748,1,-4316.70565994283,8655.41131988566,8731.91841015545,3010.21756762583,7737
fixed,,(Intercept),0.203068938331082,0.0468120475308244,-6.91562323153844,4.65810909487583e-12,model 2,7748,1,-4316.37887821643,8656.75775643286,8740.22003672719,3009.9193587718,7736
fixed,,factor(apoe_info99_4ct)one copy,0.960783539291451,0.0872827881667202,-0.440375957525507,0.659664835179446,model 2,7748,1,-4316.37887821643,8656.75775643286,8740.22003672719,3009.9193587718,7736
fixed,,factor(apoe_info99_4ct)two copies,1.2193927598931,0.289959432991505,0.834151888070552,0.404195398749104,model 2,7748,1,-4316.37887821643,8656.75775643286,8740.22003672719,3009.9193587718,7736
fixed,,factor(sex)Male,1.22545103701915,0.107737457841064,2.312521501484,0.0207489618143793,model 2,7748,1,-4316.37887821643,8656.75775643286,8740.22003672719,3009.9193587718,7736
fixed,,scale(age),1.28739975459374,0.0473698283149207,6.86573538513172,6.61495924185448e-12,model 2,7748,1,-4316.37887821643,8656.75775643286,8740.22003672719,3009.9193587718,7736
fixed,,scale(social_origins),1.11548579654566,0.0460402569142345,2.64793146478482,0.00809859416014198,model 2,7748,1,-4316.37887821643,8656.75775643286,8740.22003672719,3009.9193587718,7736
fixed,,factor(stroke_ever)1,1.44225309560852,0.164634469793894,3.20809194677361,0.00133618772437791,model 2,7748,1,-4316.37887821643,8656.75775643286,8740.22003672719,3009.9193587718,7736
fixed,,factor(study)CODA,1.21397137430024,0.340390641187012,0.691515911139814,0.489241385202677,model 2,7748,1,-4316.37887821643,8656.75775643286,8740.22003672719,3009.9193587718,7736
fixed,,factor(study)WB,0.634853666884654,0.160256837987727,-1.79993935630598,0.0718702144069837,model 2,7748,1,-4316.37887821643,8656.75775643286,8740.22003672719,3009.9193587718,7736
fixed,,factor(study)EBB,0.676666642246445,0.164161119279408,-1.60994339834013,0.107410213541139,model 2,7748,1,-4316.37887821643,8656.75775643286,8740.22003672719,3009.9193587718,7736
fixed,,factor(study)MBB,0.700072672863353,0.176408020432001,-1.41504736632531,0.157054608742127,model 2,7748,1,-4316.37887821643,8656.75775643286,8740.22003672719,3009.9193587718,7736
ran_pars,hhidpn,sd__(Intercept),1.01301751624294,,,,model 2,7748,1,-4316.37887821643,8656.75775643286,8740.22003672719,3009.9193587718,7736
fixed,,(Intercept),0.202756005916095,0.0467059208717588,-6.92735072224399,4.28794615584564e-12,model 3,7748,1,-4316.20470041025,8658.40940082051,8748.82687113935,3010.58580645097,7735
fixed,,scale(ad_pgs_resid),1.0248725730464,0.042642633967649,0.590473899603743,0.554872979126519,model 3,7748,1,-4316.20470041025,8658.40940082051,8748.82687113935,3010.58580645097,7735
fixed,,factor(apoe_info99_4ct)one copy,0.960506234557888,0.087214105308632,-0.443774686407131,0.657205491620596,model 3,7748,1,-4316.20470041025,8658.40940082051,8748.82687113935,3010.58580645097,7735
fixed,,factor(apoe_info99_4ct)two copies,1.2201874413587,0.290074009936091,0.83710628316889,0.402532828947316,model 3,7748,1,-4316.20470041025,8658.40940082051,8748.82687113935,3010.58580645097,7735
fixed,,factor(sex)Male,1.22510641502321,0.107659199916275,2.3103510864765,0.0208687247563216,model 3,7748,1,-4316.20470041025,8658.40940082051,8748.82687113935,3010.58580645097,7735
fixed,,scale(age),1.28727803264362,0.0473572938688412,6.86433311009038,6.68025857861921e-12,model 3,7748,1,-4316.20470041025,8658.40940082051,8748.82687113935,3010.58580645097,7735
