effect,group,term,estimate,std.error,statistic,p.value,model,nobs,sigma,logLik,AIC,BIC,deviance,df.residual
fixed,,(Intercept),0.0277798417607423,0.00283072762587662,-35.1667621028933,6.44485472399674e-271,model base,37158,1,-10162.6648015361,20345.3296030723,20430.5589467739,8086.43479857297,37148
fixed,,factor(sex)Male,1.19260121910174,0.0803555336154766,2.61414462357043,0.00894511634280551,model base,37158,1,-10162.6648015361,20345.3296030723,20430.5589467739,8086.43479857297,37148
fixed,,scale(age),2.54639365763833,0.0874940283298818,27.2025239568892,6.0633798401792e-163,model base,37158,1,-10162.6648015361,20345.3296030723,20430.5589467739,8086.43479857297,37148
fixed,,scale(social_origins),1.12945532309409,0.0359780428059345,3.82163118167382,0.000132571860932783,model base,37158,1,-10162.6648015361,20345.3296030723,20430.5589467739,8086.43479857297,37148
fixed,,factor(stroke_ever)1,1.56517249281123,0.117738851273369,5.95547745171544,2.59313652254084e-09,model base,37158,1,-10162.6648015361,20345.3296030723,20430.5589467739,8086.43479857297,37148
fixed,,factor(study)CODA,1.06324384310529,0.114470556626432,0.569603758649685,0.568946478589105,model base,37158,1,-10162.6648015361,20345.3296030723,20430.5589467739,8086.43479857297,37148
fixed,,factor(study)WB,0.876331616587439,0.107427683541877,-1.07686536670221,0.281540417495409,model base,37158,1,-10162.6648015361,20345.3296030723,20430.5589467739,8086.43479857297,37148
fixed,,factor(study)EBB,0.970016732830812,0.124857869706162,-0.236502577076569,0.813042707777693,model base,37158,1,-10162.6648015361,20345.3296030723,20430.5589467739,8086.43479857297,37148
fixed,,factor(study)MBB,1.19770130052554,0.170617867378475,1.2663988397773,0.205370326102616,model base,37158,1,-10162.6648015361,20345.3296030723,20430.5589467739,8086.43479857297,37148
ran_pars,hhidpn,sd__(Intercept),1.38776836065307,,,,model base,37158,1,-10162.6648015361,20345.3296030723,20430.5589467739,8086.43479857297,37148
fixed,,(Intercept),0.027815458091022,0.0028335399151566,-35.16432377036,7.02234079921851e-271,model 1,37158,1,-10161.9704691315,20345.940938263,20439.6932163348,8086.73536882605,37147
fixed,,scale(ad_pgs_resid),1.03905973346409,0.0337681530983284,1.17900503116842,0.23839617245028,model 1,37158,1,-10161.9704691315,20345.940938263,20439.6932163348,8086.73536882605,37147
fixed,,factor(sex)Male,1.19149107340887,0.0802684417447567,2.60072097163565,0.00930280852369105,model 1,37158,1,-10161.9704691315,20345.940938263,20439.6932163348,8086.73536882605,37147
fixed,,scale(age),2.54799723702556,0.087564830626812,27.2159644393588,4.20413835309812e-163,model 1,37158,1,-10161.9704691315,20345.940938263,20439.6932163348,8086.73536882605,37147
fixed,,scale(social_origins),1.12799589280505,0.0359510242007211,3.77899272153562,0.000157464026186248,model 1,37158,1,-10161.9704691315,20345.940938263,20439.6932163348,8086.73536882605,37147
fixed,,factor(stroke_ever)1,1.56360028803233,0.117601637942104,5.94307468662313,2.79724905812814e-09,model 1,37158,1,-10161.9704691315,20345.940938263,20439.6932163348,8086.73536882605,37147
fixed,,factor(study)CODA,1.061088814206,0.114209664118041,0.550897862564275,0.581703692792897,model 1,37158,1,-10161.9704691315,20345.940938263,20439.6932163348,8086.73536882605,37147
fixed,,factor(study)WB,0.876327387238075,0.107407627902862,-1.0771006222733,0.281435315115457,model 1,37158,1,-10161.9704691315,20345.940938263,20439.6932163348,8086.73536882605,37147
fixed,,factor(study)EBB,0.967909857891126,0.124598060328785,-0.253371968152845,0.799980787233156,model 1,37158,1,-10161.9704691315,20345.940938263,20439.6932163348,8086.73536882605,37147
fixed,,factor(study)MBB,1.19680439108074,0.170459595322202,1.26136571649838,0.207177114301072,model 1,37158,1,-10161.9704691315,20345.940938263,20439.6932163348,8086.73536882605,37147
ran_pars,hhidpn,sd__(Intercept),1.38723832989171,,,,model 1,37158,1,-10161.9704691315,20345.940938263,20439.6932163348,8086.73536882605,37147
fixed,,(Intercept),0.0266930686838081,0.00274699158176657,-35.2088324611643,1.46480947825612e-271,model 2,37158,1,-10157.7096454034,20339.4192908067,20441.6945032487,8087.84089443468,37146
fixed,,factor(apoe_info99_4ct)one copy,1.21053905973086,0.0953646105862922,2.42535012992651,0.015293628893176,model 2,37158,1,-10157.7096454034,20339.4192908067,20441.6945032487,8087.84089443468,37146
fixed,,factor(apoe_info99_4ct)two copies,1.65237189677787,0.370517597241921,2.2396793547801,0.0251117468070186,model 2,37158,1,-10157.7096454034,20339.4192908067,20441.6945032487,8087.84089443468,37146
fixed,,factor(sex)Male,1.19499430845553,0.0804385052909698,2.64646869438157,0.0081337033356016,model 2,37158,1,-10157.7096454034,20339.4192908067,20441.6945032487,8087.84089443468,37146
fixed,,scale(age),2.55016157522069,0.0876256494267546,27.2448867578497,1.91064911232188e-163,model 2,37158,1,-10157.7096454034,20339.4192908067,20441.6945032487,8087.84089443468,37146
fixed,,scale(social_origins),1.12906530837149,0.0359084600087614,3.81685497498428,0.000135163562528183,model 2,37158,1,-10157.7096454034,20339.4192908067,20441.6945032487,8087.84089443468,37146
