effect,group,term,estimate,std.error,statistic,p.value,model,nobs,sigma,logLik,AIC,BIC,deviance,df.residual
fixed,,(Intercept),0.0342374606344819,0.00269058661282429,-42.9393654536706,0,base,55345,1,-19438.0833070793,38912.1666141586,39072.7507629553,14975.2484511802,55327
fixed,,factor(incar_ever)Incarcerated,1.48729007289671,0.102270514902364,5.77281050953024,7.79600982381854e-09,base,55345,1,-19438.0833070793,38912.1666141586,39072.7507629553,14975.2484511802,55327
fixed,,factor(apoe_info99_4ct)one copy,1.1138533909923,0.0555931037641183,2.16037279186478,0.0307438219823887,base,55345,1,-19438.0833070793,38912.1666141586,39072.7507629553,14975.2484511802,55327
fixed,,factor(apoe_info99_4ct)two copies,1.4877875296385,0.208565824321149,2.83403723209253,0.00459639764436233,base,55345,1,-19438.0833070793,38912.1666141586,39072.7507629553,14975.2484511802,55327
fixed,,factor(sex)Male,1.06394400059901,0.0481218162849795,1.37040097729725,0.170561767192082,base,55345,1,-19438.0833070793,38912.1666141586,39072.7507629553,14975.2484511802,55327
fixed,,factor(race_ethn)Black,3.41181730496656,0.194156342007951,21.5657957370138,3.76389037749391e-103,base,55345,1,-19438.0833070793,38912.1666141586,39072.7507629553,14975.2484511802,55327
fixed,,factor(race_ethn)Hispanic,2.63994049757986,0.174444847810265,14.6908269749561,7.38075043946458e-49,base,55345,1,-19438.0833070793,38912.1666141586,39072.7507629553,14975.2484511802,55327
fixed,,factor(race_ethn)Other,2.81478228127583,0.325114990876634,8.95983208143786,3.25173217998799e-19,base,55345,1,-19438.0833070793,38912.1666141586,39072.7507629553,14975.2484511802,55327
fixed,,scale(age),1.82314300966124,0.0406835049891807,26.9128803714849,1.55222997118895e-159,base,55345,1,-19438.0833070793,38912.1666141586,39072.7507629553,14975.2484511802,55327
fixed,,factor(edu)less than hs,3.07003315973845,0.162990356638833,21.1277558965773,4.42063254900339e-99,base,55345,1,-19438.0833070793,38912.1666141586,39072.7507629553,14975.2484511802,55327
fixed,,scale(social_origins),1.03537490325935,0.0214648906909147,1.6768473470758,0.093572336449388,base,55345,1,-19438.0833070793,38912.1666141586,39072.7507629553,14975.2484511802,55327
fixed,,factor(smoke_ever)1,1.159841684081,0.0508613602034267,3.3814550551679,0.000721030271725961,base,55345,1,-19438.0833070793,38912.1666141586,39072.7507629553,14975.2484511802,55327
fixed,,factor(stroke_ever)1,1.58795724854417,0.0854425631266446,8.59464331263258,8.35238293408452e-18,base,55345,1,-19438.0833070793,38912.1666141586,39072.7507629553,14975.2484511802,55327
fixed,,factor(study)CODA,1.03778875449462,0.0859250428606011,0.447994213410974,0.654157372803572,base,55345,1,-19438.0833070793,38912.1666141586,39072.7507629553,14975.2484511802,55327
fixed,,factor(study)WB,0.677257119208772,0.060777737245408,-4.34254406520748,1.40842224879993e-05,base,55345,1,-19438.0833070793,38912.1666141586,39072.7507629553,14975.2484511802,55327
fixed,,factor(study)EBB,0.746117531708765,0.0669682151344724,-3.26299632209039,0.00110240950542366,base,55345,1,-19438.0833070793,38912.1666141586,39072.7507629553,14975.2484511802,55327
fixed,,factor(study)MBB,0.867133811257584,0.0841487930595684,-1.46906812300918,0.141814312843817,base,55345,1,-19438.0833070793,38912.1666141586,39072.7507629553,14975.2484511802,55327
ran_pars,hhidpn,sd__(Intercept),1.12642479066155,,,,base,55345,1,-19438.0833070793,38912.1666141586,39072.7507629553,14975.2484511802,55327
fixed,,(Intercept),0.0341602792577675,0.00268799964395636,-42.9124806239566,0,incar_sex,55345,1,-19437.9452559218,38913.8905118436,39083.3960022402,14975.0737367315,55326
fixed,,factor(incar_ever)Incarcerated,1.56859669689214,0.191774354246776,3.6822079447607,0.000231222685652269,incar_sex,55345,1,-19437.9452559218,38913.8905118436,39083.3960022402,14975.0737367315,55326
fixed,,factor(sex)Male,1.07253330263135,0.0511976736561085,1.46691143351528,0.14240014982392,incar_sex,55345,1,-19437.9452559218,38913.8905118436,39083.3960022402,14975.0737367315,55326
fixed,,factor(apoe_info99_4ct)one copy,1.11344347356186,0.0555786577446875,2.15276496566731,0.0313371548362243,incar_sex,55345,1,-19437.9452559218,38913.8905118436,39083.3960022402,14975.0737367315,55326
